i	E(i)	g[i]	hist[i]
0	-128.000000	0.000000	20917
4	-120.000000	4.168701	22719
6	-116.000000	4.858868	21663
8	-112.000000	7.759361	23171
10	-108.000000	9.098417	23320
12	-104.000000	11.217663	21899
14	-100.000000	12.773125	21079
16	-96.000000	14.582861	21388
18	-92.000000	16.234459	19519
20	-88.000000	17.899254	20697
22	-84.000000	19.538706	21228
24	-80.000000	21.153347	22027
26	-76.000000	22.793324	21671
28	-72.000000	24.403936	21760
30	-68.000000	25.987244	21625
32	-64.000000	27.543793	20603
34	-60.000000	29.051210	20978
36	-56.000000	30.513617	19934
38	-52.000000	31.913372	19253
40	-48.000000	33.236416	18961
42	-44.000000	34.481857	19271
44	-40.000000	35.653141	19257
46	-36.000000	36.726345	19759
48	-32.000000	37.708973	20513
50	-28.000000	38.601328	20250
52	-24.000000	39.399611	20098
54	-20.000000	40.072817	20190
56	-16.000000	40.633501	20428
58	-12.000000	41.077866	20781
60	-8.000000	41.402319	20936
62	-4.000000	41.593458	21330
64	0.000000	41.653934	21183
66	4.000000	41.586637	21048
68	8.000000	41.387230	21243
70	12.000000	41.064159	21583
72	16.000000	40.621328	21126
74	20.000000	40.070560	21135
76	24.000000	39.402235	20660
78	28.000000	38.624638	20957
80	32.000000	37.735332	20147
82	36.000000	36.750273	20850
84	40.000000	35.659706	20671
86	44.000000	34.501919	19703
88	48.000000	33.269638	19739
90	52.000000	31.955629	19678
92	56.000000	30.574091	19584
94	60.000000	29.110411	19766
96	64.000000	27.605461	19935
98	68.000000	26.032497	20723
100	72.000000	24.428026	20096
102	76.000000	22.811726	19471
104	80.000000	21.202013	19764
106	84.000000	19.544004	18860
108	88.000000	17.905907	19347
110	92.000000	16.239183	18972
112	96.000000	14.583609	18926
114	100.000000	12.755884	19214
116	104.000000	11.196869	19805
118	108.000000	9.081581	18133
120	112.000000	7.751347	18193
122	116.000000	4.838320	16504
124	120.000000	4.150429	17577
128	128.000000	-0.036703	18182
