0.01	-nan	-nan
0.02	5.14536e-171	0
0.03	4.1433e-113	3.24947e-221
0.04	3.71802e-84	1.96248e-163
0.05	8.75168e-67	8.69869e-129
0.06	3.3364e-55	1.05353e-105
0.07	6.2453e-47	3.1641e-89
0.08	9.99449e-41	7.09042e-77
0.09	6.68736e-36	2.82168e-67
0.1	4.84898e-32	1.33518e-59
0.11	6.98482e-29	2.5186e-53
0.12	2.99394e-26	4.24176e-48
0.13	5.0512e-24	1.11452e-43
0.14	4.0962e-22	6.80573e-40
0.15	1.84857e-20	1.29367e-36
0.16	5.18185e-19	9.52993e-34
0.17	9.81344e-18	3.21688e-31
0.18	1.34039e-16	5.66802e-29
0.19	1.39035e-15	5.77747e-27
0.2	1.14138e-14	3.69887e-25
0.21	7.66756e-14	1.58977e-23
0.22	4.33194e-13	4.84376e-22
0.23	2.1053e-12	1.09431e-20
0.24	8.96863e-12	1.90319e-19
0.25	3.4024e-11	2.62949e-18
0.26	1.16494e-10	2.96395e-17
0.27	3.64103e-10	2.78821e-16
0.28	1.04905e-09	2.2319e-15
0.29	2.80978e-09	1.54592e-14
0.3	7.04733e-09	9.40088e-14
0.31	1.66576e-08	5.08281e-13
0.32	3.73122e-08	2.47055e-12
0.33	7.95911e-08	1.09007e-11
0.34	1.62377e-07	4.40363e-11
0.35	3.18047e-07	1.64118e-10
0.36	6.00121e-07	5.68088e-10
0.37	1.09416e-06	1.8374e-09
0.38	1.93286e-06	5.58287e-09
0.39	3.31625e-06	1.60129e-08
0.4	5.53828e-06	4.35443e-08
0.41	9.02072e-06	1.12704e-07
0.42	1.43556e-05	2.78637e-07
0.43	2.23575e-05	6.60117e-07
0.44	3.41258e-05	1.50299e-06
0.45	5.11195e-05	3.29765e-06
0.46	7.52428e-05	6.98904e-06
0.47	0.000108945	1.43404e-05
0.48	0.000155331	2.85445e-05
0.49	0.000218289	5.52222e-05
0.5	0.000302622	0.000104011
0.51	0.000414207	0.000191035
0.52	0.000560144	0.000342648
0.53	0.000748939	0.000600995
0.54	0.000990678	0.00103211
0.55	0.00129721	0.00173748
0.56	0.00168237	0.00287022
0.57	0.00216213	0.00465748
0.58	0.00275484	0.00743072
0.59	0.00348142	0.0116663
0.6	0.00436557	0.0180387
0.61	0.00543394	0.0274901
0.62	0.00671634	0.0413196
0.63	0.00824595	0.0612956
0.64	0.0100595	0.0897973
0.65	0.0121973	0.12999
0.66	0.0147036	0.186041
0.67	0.0176265	0.263375
0.68	0.0210185	0.368993
0.69	0.024936	0.511841
0.7	0.0294396	0.703248
0.71	0.0345946	0.957438
0.72	0.0404703	1.29212
0.73	0.0471404	1.72918
0.74	0.0546831	2.29544
0.75	0.0631808	3.02354
0.76	0.0727199	3.9529
0.77	0.083391	5.13084
0.78	0.0952886	6.61373
0.79	0.108511	8.46834
0.8	0.123159	10.7732
0.81	0.139338	13.6201
0.82	0.157155	17.1158
0.83	0.176721	21.3835
0.84	0.198147	26.5648
0.85	0.221548	32.8213
0.86	0.247037	40.3367
0.87	0.274731	49.318
0.88	0.304745	59.998
0.89	0.337193	72.6365
0.9	0.372189	87.5218
0.91	0.409845	104.973
0.92	0.450271	125.338
0.93	0.49357	149.001
0.94	0.539845	176.376
0.95	0.589193	207.911
0.96	0.641704	244.087
0.97	0.697462	285.416
0.98	0.756545	332.442
0.99	0.81902	385.741
1	0.884948	445.913
1.01	0.954381	513.583
1.02	1.02736	589.399
1.03	1.10391	674.024
1.04	1.18405	768.136
1.05	1.26779	872.42
1.06	1.35513	987.562
1.07	1.44604	1114.24
1.08	1.5405	1253.14
1.09	1.63847	1404.91
1.1	1.7399	1570.2
1.11	1.84471	1749.59
1.12	1.95284	1943.68
1.13	2.06419	2153
1.14	2.17868	2378.03
1.15	2.2962	2619.22
1.16	2.41665	2876.95
1.17	2.53989	3151.57
1.18	2.66582	3443.36
1.19	2.79431	3752.53
1.2	2.92522	4079.25
1.21	3.05844	4423.64
1.22	3.19383	4785.76
1.23	3.33125	5165.61
1.24	3.4706	5563.15
1.25	3.61173	5978.29
1.26	3.75453	6410.89
1.27	3.89888	6860.78
1.28	4.04466	7327.72
1.29	4.19175	7811.45
1.3	4.34003	8311.65
1.31	4.48938	8827.94
1.32	4.63969	9359.87
1.33	4.79082	9906.95
1.34	4.94264	10468.6
1.35	5.09502	11044.1
1.36	5.24779	11632.7
1.37	5.40078	12233.5
1.38	5.55382	12845.4
1.39	5.7067	13467.3
1.4	5.8592	14097.8
1.41	6.01109	14735.1
1.42	6.1621	15377.1
1.43	6.31195	16022.8
1.44	6.46036	16670.1
1.45	6.60701	17316.9
1.46	6.75158	17960.8
1.47	6.89373	18599.4
1.48	7.03313	19230.1
1.49	7.16944	19850.2
1.5	7.30232	20457.2
1.51	7.43144	21048.4
1.52	7.5565	21620.9
1.53	7.6772	22172.2
1.54	7.79326	22700.4
1.55	7.90445	23203.1
1.56	8.01055	23678.5
1.57	8.11138	24124.7
1.58	8.20679	24540.2
1.59	8.29667	24923.5
1.6	8.38094	25274
1.61	8.45955	25591.1
1.62	8.53248	25874.3
1.63	8.59975	26123.3
1.64	8.6614	26338
1.65	8.71747	26518.9
1.66	8.76805	26666.4
1.67	8.81321	26781
1.68	8.85307	26863.4
1.69	8.88774	26914.2
1.7	8.91732	26934.6
1.71	8.94195	26925.6
1.72	8.96176	26888
1.73	8.9769	26823.2
1.74	8.98753	26732.5
1.75	8.99382	26617.1
1.76	8.99596	26478.6
1.77	8.99417	26318.7
1.78	8.9887	26139.2
1.79	8.97981	25941.9
1.8	8.96782	25729.1
1.81	8.95306	25502.8
1.82	8.9359	25265.6
1.83	8.91673	25020
1.84	8.896	24768.5
1.85	8.87415	24513.8
1.86	8.85164	24258.6
1.87	8.82897	24005.4
1.88	8.80659	23757
1.89	8.78498	23515.5
1.9	8.76457	23283.2
1.91	8.74575	23062
1.92	8.72886	22853.4
1.93	8.71418	22658.6
1.94	8.70186	22478.3
1.95	8.69198	22312.3
1.96	8.68445	22160.1
1.97	8.67905	22020.2
1.98	8.67538	21890.5
1.99	8.67283	21767.8
2	8.67059	21647.9
2.01	8.66765	21525.6
2.02	8.66275	21394.9
2.03	8.65443	21248.7
2.04	8.64101	21079.1
2.05	8.62064	20877.5
2.06	8.59132	20635.2
2.07	8.55097	20343
2.08	8.49744	19992.6
2.09	8.42862	19575.9
2.1	8.34247	19086.5
2.11	8.23711	18519.2
2.12	8.11085	17871.1
2.13	7.96228	17141.5
2.14	7.79029	16332.2
2.15	7.59409	15447.6
2.16	7.37327	14494.8
2.17	7.12777	13483.1
2.18	6.85792	12424.1
2.19	6.56441	11331.3
2.2	6.24829	10219.4
2.21	5.91103	9104.39
2.22	5.5545	8002.78
2.23	5.18099	6931.24
2.24	4.79329	5905.99
2.25	4.3947	4942.24
2.26	3.98901	4053.58
2.27	3.58052	3251.16
2.28	3.17393	2543.15
2.29	2.77422	1934.07
2.3	2.38647	1424.54
2.31	2.01559	1011.28
2.32	1.6661	687.454
2.33	1.34192	443.424
2.34	1.04611	267.608
2.35	0.780797	147.636
2.36	0.547085	71.2352
2.37	0.34511	27.0992
2.38	0.174112	5.43282
2.39	0.0325793	-1.6952
2.4	-0.0815883	-0.402122
2.41	-0.170906	4.95093
2.42	-0.238137	11.4369
2.43	-0.286148	17.3189
2.44	-0.317789	21.7291
2.45	-0.335795	24.3716
2.46	-0.342719	25.3467
2.47	-0.340886	24.9225
2.48	-0.332371	23.4538
2.49	-0.318985	21.3231
2.5	-0.30228	18.8262
2.51	-0.283557	16.2148
2.52	-0.263887	13.6722
2.53	-0.244129	11.3113
2.54	-0.224952	9.21102
2.55	-0.206861	7.40357
2.56	-0.190217	5.86711
2.57	-0.175258	4.5903
2.58	-0.162123	3.56994
2.59	-0.150865	2.76983
2.6	-0.141474	2.13226
2.61	-0.133887	1.63902
2.62	-0.127999	1.28368
2.63	-0.123681	1.02098
2.64	-0.120783	0.85048
2.65	-0.119144	0.750875
2.66	-0.118599	0.710282
2.67	-0.118984	0.719376
2.68	-0.120136	0.772453
2.69	-0.121903	0.850704
2.7	-0.124141	0.96122
2.71	-0.126718	1.09262
2.72	-0.129513	1.23279
2.73	-0.132418	1.3796
2.74	-0.135339	1.5282
2.75	-0.138191	1.67758
2.76	-0.140904	1.82396
2.77	-0.14342	1.95937
2.78	-0.145689	2.08356
2.79	-0.147672	2.19594
2.8	-0.149339	2.29516
2.81	-0.150668	2.36636
2.82	-0.151646	2.41053
2.83	-0.152263	2.42861
2.84	-0.152518	2.43066
2.85	-0.152412	2.40826
2.86	-0.151952	2.3622
2.87	-0.151148	2.30159
2.88	-0.150013	2.21875
2.89	-0.148562	2.12558
2.9	-0.146812	2.00822
2.91	-0.144783	1.87775
2.92	-0.142493	1.74208
2.93	-0.139964	1.5921
2.94	-0.137216	1.43031
2.95	-0.13427	1.26872
2.96	-0.131148	1.10586
2.97	-0.12787	0.929028
2.98	-0.124458	0.7555
2.99	-0.120931	0.576851
3	-0.117308	0.398785
3.01	-0.113609	0.227202
3.02	-0.109851	0.0575329
3.03	-0.106052	-0.102726
3.04	-0.102228	-0.260664
3.05	-0.0983953	-0.408807
3.06	-0.0945674	-0.552777
3.07	-0.0907585	-0.684483
3.08	-0.0869812	-0.809124
3.09	-0.0832475	-0.925401
3.1	-0.0795682	-1.03556
3.11	-0.0759534	-1.14552
3.12	-0.0724122	-1.25094
3.13	-0.0689531	-1.34583
3.14	-0.0655833	-1.43572
3.15	-0.0623098	-1.51713
3.16	-0.0591382	-1.59586
3.17	-0.0560739	-1.66389
3.18	-0.0531212	-1.72167
3.19	-0.0502839	-1.76963
3.2	-0.0475651	-1.80989
3.21	-0.0449673	-1.85247
3.22	-0.0424925	-1.89094
3.23	-0.0401419	-1.92215
3.24	-0.0379165	-1.95328
3.25	-0.0358165	-1.98093
3.26	-0.0338419	-2.00615
3.27	-0.0319922	-2.02477
3.28	-0.0302663	-2.03795
3.29	-0.0286632	-2.05263
3.3	-0.0271811	-2.06171
3.31	-0.0258181	-2.07066
3.32	-0.0245721	-2.0774
3.33	-0.0234406	-2.08683
3.34	-0.022421	-2.09205
3.35	-0.0215104	-2.09289
3.36	-0.0207057	-2.08957
3.37	-0.0200038	-2.08797
3.38	-0.0194014	-2.08795
3.39	-0.018895	-2.0883
3.4	-0.0184811	-2.08506
3.41	-0.0181561	-2.08471
3.42	-0.0179163	-2.08203
3.43	-0.017758	-2.08112
3.44	-0.0176775	-2.07921
3.45	-0.0176711	-2.07418
3.46	-0.0177351	-2.07312
3.47	-0.0178655	-2.06916
3.48	-0.0180589	-2.06227
3.49	-0.0183115	-2.05931
3.5	-0.0186196	-2.05368
3.51	-0.0189797	-2.04556
3.52	-0.0193882	-2.04124
3.53	-0.0198418	-2.03422
3.54	-0.0203369	-2.02855
3.55	-0.0208703	-2.02295
3.56	-0.0214388	-2.01477
3.57	-0.0220391	-2.00407
3.58	-0.0226684	-1.99706
3.59	-0.0233235	-1.99428
3.6	-0.0240016	-1.98919
3.61	-0.0246999	-1.9817
3.62	-0.0254159	-1.97458
3.63	-0.0261468	-1.96876
3.64	-0.0268902	-1.96066
3.65	-0.0276439	-1.95034
3.66	-0.0284054	-1.93786
3.67	-0.0291727	-1.92744
3.68	-0.0299436	-1.91691
3.69	-0.0307163	-1.90936
3.7	-0.0314888	-1.90084
3.71	-0.0322594	-1.89036
3.72	-0.0330264	-1.87798
3.73	-0.0337883	-1.86808
3.74	-0.0345436	-1.85793
3.75	-0.0352909	-1.84602
3.76	-0.0360289	-1.8324
3.77	-0.0367564	-1.81713
3.78	-0.0374722	-1.80816
3.79	-0.0381754	-1.80104
3.8	-0.038865	-1.79236
3.81	-0.0395401	-1.78215
3.82	-0.0401999	-1.77065
3.83	-0.0408436	-1.76306
3.84	-0.0414706	-1.75407
3.85	-0.0420803	-1.74371
3.86	-0.0426722	-1.73384
3.87	-0.0432458	-1.72626
3.88	-0.0438006	-1.71741
3.89	-0.0443363	-1.70734
3.9	-0.0448526	-1.69608
3.91	-0.0453493	-1.6887
3.92	-0.0458261	-1.68039
3.93	-0.0462828	-1.67132
3.94	-0.0467194	-1.66596
3.95	-0.0471358	-1.65952
3.96	-0.0475318	-1.65205
3.97	-0.0479076	-1.64357
3.98	-0.048263	-1.63411
3.99	-0.0485983	-1.62371
4	-0.0489133	-1.61514
4.01	-0.0492083	-1.60914
4.02	-0.0494834	-1.60578
4.03	-0.0497387	-1.6015
4.04	-0.0499744	-1.59634
4.05	-0.0501906	-1.59031
4.06	-0.0503877	-1.58543
4.07	-0.0505657	-1.58244
4.08	-0.050725	-1.57861
4.09	-0.0508657	-1.57396
4.1	-0.0509882	-1.56852
4.11	-0.0510927	-1.56229
4.12	-0.0511794	-1.55712
4.13	-0.0512487	-1.55391
4.14	-0.0513009	-1.54994
4.15	-0.0513362	-1.54558
4.16	-0.0513549	-1.54456
4.17	-0.0513573	-1.54278
4.18	-0.0513438	-1.54026
4.19	-0.0513146	-1.53929
4.2	-0.0512701	-1.53965
4.21	-0.0512105	-1.53927
4.22	-0.0511362	-1.53818
4.23	-0.0510475	-1.53638
4.24	-0.0509447	-1.53388
4.25	-0.050828	-1.53371
4.26	-0.0506978	-1.534
4.27	-0.0505545	-1.5336
4.28	-0.0503982	-1.53313
4.29	-0.0502294	-1.53545
4.3	-0.0500482	-1.53706
4.31	-0.0498551	-1.53799
4.32	-0.0496502	-1.53824
4.33	-0.049434	-1.53782
4.34	-0.0492066	-1.54025
4.35	-0.0489684	-1.54245
4.36	-0.0487197	-1.54397
4.37	-0.0484607	-1.54483
4.38	-0.0481917	-1.54504
4.39	-0.047913	-1.5446
4.4	-0.0476248	-1.5449
4.41	-0.0473275	-1.54698
4.42	-0.0470213	-1.54841
4.43	-0.0467065	-1.5496
4.44	-0.0463833	-1.55347
4.45	-0.046052	-1.55669
4.46	-0.0457128	-1.55927
4.47	-0.0453661	-1.5612
4.48	-0.045012	-1.5625
4.49	-0.0446508	-1.56317
4.5	-0.0442828	-1.56381
4.51	-0.0439081	-1.56683
4.52	-0.0435272	-1.56922
4.53	-0.04314	-1.57099
4.54	-0.0427471	-1.57215
4.55	-0.0423484	-1.57271
4.56	-0.0419444	-1.5735
4.57	-0.0415352	-1.57631
4.58	-0.041121	-1.57851
4.59	-0.040702	-1.58011
4.6	-0.0402786	-1.58111
4.61	-0.0398509	-1.58226
4.62	-0.0394191	-1.58544
4.63	-0.0389834	-1.58803
4.64	-0.0385441	-1.59002
4.65	-0.0381014	-1.59143
4.66	-0.0376554	-1.59227
4.67	-0.0372064	-1.59254
4.68	-0.0367546	-1.59225
4.69	-0.0363001	-1.59444
4.7	-0.0358432	-1.59624
4.71	-0.0353841	-1.59747
4.72	-0.0349229	-1.59816
4.73	-0.0344598	-1.5983
4.74	-0.0339951	-1.59815
4.75	-0.0335289	-1.60031
