0.01	-nan	-nan
0.02	136.936	0
0.03	136.936	0
0.04	136.936	0
0.05	136.936	0
0.06	136.936	0
0.07	136.936	0
0.08	136.936	0
0.09	136.936	0
0.1	136.936	0
0.11	136.936	0
0.12	136.936	0
0.13	136.936	0
0.14	136.936	0
0.15	136.936	0
0.16	136.936	0
0.17	136.936	0
0.18	136.936	1.76606e-06
0.19	136.936	1.95196e-05
0.2	136.936	0.000149939
0.21	136.936	0.000967298
0.22	136.936	0.0052139
0.23	136.936	0.0242362
0.24	136.936	0.098945
0.25	136.936	0.36035
0.26	136.936	1.18634
0.27	136.936	3.5706
0.28	136.936	9.92014
0.29	136.936	25.654
0.3	136.936	62.1991
0.31	136.936	142.276
0.32	136.936	308.733
0.33	136.936	638.605
0.34	136.935	1264.53
0.35	136.935	2406.06
0.36	136.935	4413.88
0.37	136.935	7830.09
0.38	136.935	13468
0.39	136.934	22514.9
0.4	136.933	36660.7
0.41	136.931	58256
0.42	136.928	90500.6
0.43	136.924	137665
0.44	136.917	205344
0.45	136.908	300745
0.46	136.895	433004
0.47	136.877	613528
0.48	136.852	856364
0.49	136.818	1.17858e+06
0.5	136.772	1.60064e+06
0.51	136.712	2.14679e+06
0.52	136.633	2.84545e+06
0.53	136.531	3.72946e+06
0.54	136.401	4.83642e+06
0.55	136.236	6.20879e+06
0.56	136.028	7.89398e+06
0.57	135.77	9.94423e+06
0.58	135.451	1.24163e+07
0.59	135.06	1.53708e+07
0.6	134.585	1.88714e+07
0.61	134.012	2.29835e+07
0.62	133.325	2.77725e+07
0.63	132.507	3.33013e+07
0.64	131.54	3.96274e+07
0.65	130.403	4.67996e+07
0.66	129.076	5.4853e+07
0.67	127.534	6.3804e+07
0.68	125.754	7.36441e+07
0.69	123.711	8.43328e+07
0.7	121.38	9.57899e+07
0.71	118.736	1.07887e+08
0.72	115.754	1.20441e+08
0.73	112.412	1.33202e+08
0.74	108.691	1.45852e+08
0.75	104.576	1.58e+08
0.76	100.06	1.69181e+08
0.77	95.1442	1.78868e+08
0.78	89.8422	1.86492e+08
0.79	84.1824	1.91471e+08
0.8	78.2115	1.93258e+08
0.81	71.9967	1.91403e+08
0.82	65.6273	1.85622e+08
0.83	59.2143	1.7587e+08
0.84	52.8875	1.62396e+08
0.85	46.7898	1.4577e+08
0.86	41.0673	1.26859e+08
0.87	35.859	1.06751e+08
0.88	31.284	8.6627e+07
0.89	27.4309	6.76132e+07
0.9	24.3497	5.06327e+07
0.91	22.0485	3.63021e+07
0.92	20.4942	2.48857e+07
0.93	19.6186	1.63155e+07
0.94	19.3261	1.02658e+07
0.95	19.5058	6.25785e+06
0.96	20.0421	3.76849e+06
0.97	20.8259	2.31745e+06
0.98	21.7624	1.51914e+06
0.99	22.7752	1.09799e+06
1	23.8075	877114
1.01	24.8199	753801
1.02	25.7879	673469
1.03	26.6969	608685
1.04	27.5377	545958
1.05	28.3038	479785
1.06	28.993	411109
1.07	29.6122	346255
1.08	30.1815	293664
1.09	30.7302	259038
1.1	31.2871	242343
1.11	31.8729	239569
1.12	32.5044	247826
1.13	33.207	268317
1.14	34.0184	303204
1.15	34.9715	349050
1.16	36.0708	395543
1.17	37.288	434351
1.18	38.5887	467900
1.19	39.962	502599
1.2	41.4117	531353
1.21	42.9133	531570
1.22	44.3951	492121
1.23	45.7864	442267
1.24	47.1022	450978
1.25	48.4894	614417
1.26	50.2156	1.05215e+06
1.27	52.6193	1.86091e+06
1.28	55.9967	2.96281e+06
1.29	60.4081	3.95327e+06
1.3	65.5041	4.2554e+06
1.31	70.5805	3.6311e+06
1.32	74.9117	2.46e+06
1.33	78.1048	1.35456e+06
1.34	80.1665	638983
1.35	81.3065	287649
1.36	81.7566	153554
1.37	81.7652	120470
1.38	81.6663	130638
1.39	81.8399	170245
1.4	82.5264	226861
1.41	83.6753	258167
1.42	85.0146	234420
1.43	86.2862	180753
1.44	87.4129	140249
1.45	88.4533	123121
1.46	89.4275	108809
1.47	90.2199	83202.7
1.48	90.6732	57584.2
1.49	90.7836	46185.2
1.5	90.7996	49548.7
1.51	91.0575	65673.9
1.52	91.677	81769.8
1.53	92.4624	76033.4
1.54	93.1015	52593.8
1.55	93.4459	37841.7
1.56	93.65	48275.4
1.57	94.0467	83004.6
1.58	94.7937	115023
1.59	95.6656	112902
1.6	96.4112	97281.7
1.61	97.1453	101414
1.62	98.0824	112735
1.63	99.129	98426.3
1.64	99.9998	63696
1.65	100.536	37647.1
1.66	100.704	30690.5
1.67	100.49	36025.3
1.68	100.037	38171.8
1.69	99.6758	32147.7
1.7	99.6969	32166
1.71	100.142	41088.1
1.72	100.771	41110.9
1.73	101.231	28651.2
1.74	101.413	19310.8
1.75	101.532	19993.5
1.76	101.741	25870.7
1.77	101.835	30840.3
1.78	101.561	34751.3
1.79	101.07	32372.4
1.8	100.847	34765
1.81	101.324	74321.2
1.82	102.663	161000
1.83	104.727	248605
1.84	107.026	245824
1.85	108.752	145206
