0.01	-nan	-nan
0.02	2.05562e-170	0
0.03	1.65529e-112	9.33715e-220
0.04	1.48539e-83	5.63906e-162
0.05	3.49639e-66	2.49951e-127
0.06	1.33292e-54	3.02724e-104
0.07	2.49506e-46	9.09183e-88
0.08	3.9929e-40	2.03738e-75
0.09	2.67167e-35	8.10791e-66
0.1	1.93722e-31	3.83656e-58
0.11	2.79051e-28	7.23703e-52
0.12	1.19611e-25	1.21884e-46
0.13	2.01801e-23	3.20249e-42
0.14	1.63647e-21	1.95558e-38
0.15	7.38523e-20	3.71726e-35
0.16	2.0702e-18	2.73836e-32
0.17	3.92057e-17	9.24348e-30
0.18	5.355e-16	1.62867e-27
0.19	5.5546e-15	1.66012e-25
0.2	4.55992e-14	1.06285e-23
0.21	3.06327e-13	4.56811e-22
0.22	1.73065e-12	1.39182e-20
0.23	8.41088e-12	3.14443e-19
0.24	3.58306e-11	5.46868e-18
0.25	1.35929e-10	7.55567e-17
0.26	4.65403e-10	8.51671e-16
0.27	1.45463e-09	8.01174e-15
0.28	4.19105e-09	6.4132e-14
0.29	1.12253e-08	4.4421e-13
0.3	2.81547e-08	2.70127e-12
0.31	6.65486e-08	1.4605e-11
0.32	1.49065e-07	7.09889e-11
0.33	3.17972e-07	3.13221e-10
0.34	6.48706e-07	1.26533e-09
0.35	1.27061e-06	4.71567e-09
0.36	2.3975e-06	1.6323e-08
0.37	4.37118e-06	5.27937e-08
0.38	7.72169e-06	1.60408e-07
0.39	1.32481e-05	4.60077e-07
0.4	2.21246e-05	1.25106e-06
0.41	3.60359e-05	3.23797e-06
0.42	5.73466e-05	8.00484e-06
0.43	8.93095e-05	1.89633e-05
0.44	0.000136315	4.31742e-05
0.45	0.000204189	9.47197e-05
0.46	0.000300535	0.000200732
0.47	0.000435127	0.000411833
0.48	0.000620361	0.00081966
0.49	0.000871745	0.00158551
0.5	0.00120845	0.00298589
0.51	0.0016539	0.00548322
0.52	0.00223642	0.00983306
0.53	0.00298989	0.0172433
0.54	0.00395449	0.0296056
0.55	0.00517742	0.0498255
0.56	0.00671368	0.082285
0.57	0.00862683	0.13348
0.58	0.0109898	0.212881
0.59	0.0138856	0.33409
0.6	0.0174082	0.51635
0.61	0.0216632	0.786511
0.62	0.0267687	1.18155
0.63	0.0328556	1.75174
0.64	0.0400688	2.56462
0.65	0.0485673	3.70992
0.66	0.0585247	5.3055
0.67	0.0701302	7.5046
0.68	0.0835881	10.5045
0.69	0.0991188	14.5565
0.7	0.116958	19.9784
0.71	0.137359	27.1676
0.72	0.160588	36.6176
0.73	0.186928	48.9357
0.74	0.216678	64.8636
0.75	0.250151	85.2997
0.76	0.287672	111.324
0.77	0.329581	144.226
0.78	0.376228	185.532
0.79	0.427973	237.04
0.8	0.485186	300.847
0.81	0.548243	379.389
0.82	0.617526	475.47
0.83	0.693417	592.302
0.84	0.776302	733.532
0.85	0.866563	903.281
0.86	0.964575	1106.17
0.87	1.07071	1347.34
0.88	1.18532	1632.48
0.89	1.30875	1967.84
0.9	1.44132	2360.23
0.91	1.58334	2817.02
0.92	1.73508	3346.12
0.93	1.89678	3955.96
0.94	2.06866	4655.44
0.95	2.25088	5453.85
0.96	2.44358	6360.83
0.97	2.64683	7386.27
0.98	2.86067	8540.15
0.99	3.08507	9832.46
1	3.31994	11273
1.01	3.56512	12871.2
1.02	3.82041	14636.1
1.03	4.08549	16575.7
1.04	4.36001	18697.2
1.05	4.64351	21006.5
1.06	4.93547	23508
1.07	5.23527	26204.3
1.08	5.5422	29096
1.09	5.85547	32181.4
1.1	6.1742	35456.3
1.11	6.49744	38913.6
1.12	6.82411	42543.2
1.13	7.1531	46332
1.14	7.48317	50263.5
1.15	7.81304	54317.9
1.16	8.14134	58472.3
1.17	8.46667	62700.4
1.18	8.78755	66972.9
1.19	9.10248	71257.9
1.2	9.40995	75520.9
1.21	9.70842	79725.9
