i	E(i)	g[i]	hist[i]
0	-512.000000	0.000000	139833
4	-504.000000	5.545136	137581
6	-500.000000	6.247368	133001
8	-496.000000	10.387911	144231
10	-492.000000	11.733297	150910
12	-488.000000	14.924379	146884
14	-484.000000	16.655405	148803
16	-480.000000	19.288361	149001
18	-476.000000	21.207143	147019
20	-472.000000	23.546819	149280
22	-468.000000	25.546827	147222
24	-464.000000	27.705351	151715
26	-460.000000	29.713870	147128
28	-456.000000	31.745175	150652
30	-452.000000	33.719393	155399
32	-448.000000	35.711833	152355
34	-444.000000	37.666030	152712
36	-440.000000	39.616476	153799
38	-436.000000	41.522708	160868
40	-432.000000	43.435659	159732
42	-428.000000	45.333428	155515
44	-424.000000	47.212483	154319
46	-420.000000	49.059054	158314
48	-416.000000	50.914840	157886
50	-412.000000	52.746285	159225
52	-408.000000	54.581784	159911
54	-404.000000	56.383814	165740
56	-400.000000	58.165690	171395
58	-396.000000	59.981211	166155
60	-392.000000	61.760793	171529
62	-388.000000	63.541361	172819
64	-384.000000	65.311245	173885
66	-380.000000	67.056851	176038
68	-376.000000	68.817365	174860
70	-372.000000	70.574631	170081
72	-368.000000	72.319646	170627
74	-364.000000	74.052008	168183
76	-360.000000	75.774158	166747
78	-356.000000	77.507962	164566
80	-352.000000	79.218402	164697
82	-348.000000	80.945537	168233
84	-344.000000	82.662245	167189
86	-340.000000	84.363432	166551
88	-336.000000	86.068786	167526
90	-332.000000	87.757077	167492
92	-328.000000	89.461278	162991
94	-324.000000	91.152690	160652
96	-320.000000	92.828251	162549
98	-316.000000	94.504894	162459
100	-312.000000	96.166778	164181
102	-308.000000	97.833388	161732
104	-304.000000	99.484969	161817
106	-300.000000	101.127829	163747
108	-296.000000	102.768441	163578
110	-292.000000	104.392958	161667
112	-288.000000	106.015732	161673
114	-284.000000	107.620979	160792
116	-280.000000	109.221413	159184
118	-276.000000	110.813471	160822
120	-272.000000	112.382236	164190
122	-268.000000	113.953450	161335
124	-264.000000	115.508004	162596
126	-260.000000	117.056379	160576
128	-256.000000	118.583312	162166
130	-252.000000	120.088486	164675
132	-248.000000	121.605141	160715
134	-244.000000	123.090491	160118
136	-240.000000	124.567273	155583
138	-236.000000	126.030344	154059
140	-232.000000	127.469811	156849
142	-228.000000	128.904230	158821
144	-224.000000	130.317040	156595
146	-220.000000	131.721604	155041
148	-216.000000	133.104778	153211
150	-212.000000	134.474973	152393
152	-208.000000	135.823557	150700
154	-204.000000	137.157058	149202
156	-200.000000	138.476308	147751
158	-196.000000	139.775600	148995
160	-192.000000	141.048931	147284
162	-188.000000	142.295088	147141
164	-184.000000	143.526924	147026
166	-180.000000	144.739819	146492
168	-176.000000	145.939812	145759
170	-172.000000	147.109917	146123
172	-168.000000	148.265533	148028
174	-164.000000	149.392445	151185
176	-160.000000	150.519208	148425
178	-156.000000	151.607039	148453
180	-152.000000	152.680965	148672
182	-148.000000	153.725063	150494
184	-144.000000	154.754684	150672
186	-140.000000	155.763796	147902
188	-136.000000	156.735973	148073
190	-132.000000	157.692845	146713
192	-128.000000	158.630141	145682
194	-124.000000	159.546237	145813
196	-120.000000	160.428351	145501
198	-116.000000	161.293703	143698
200	-112.000000	162.129635	143809
202	-108.000000	162.935915	146335
204	-104.000000	163.716956	145505
206	-100.000000	164.473376	145959
208	-96.000000	165.208464	145623
210	-92.000000	165.920842	144384
212	-88.000000	166.594136	145491
214	-84.000000	167.246007	144817
216	-80.000000	167.865358	143850
218	-76.000000	168.460589	142805
220	-72.000000	169.019488	144325
222	-68.000000	169.557241	143335
224	-64.000000	170.067509	142974
226	-60.000000	170.545283	143673
228	-56.000000	170.993394	143039
230	-52.000000	171.415317	143430
232	-48.000000	171.799651	144769
234	-44.000000	172.159188	144928
236	-40.000000	172.481553	145984
238	-36.000000	172.779771	146052
240	-32.000000	173.040204	145915
242	-28.000000	173.278922	146175
244	-24.000000	173.479210	146047
246	-20.000000	173.656013	144959
248	-16.000000	173.795397	145254
250	-12.000000	173.904549	146000
252	-8.000000	173.982997	146175
254	-4.000000	174.034927	145548
256	0.000000	174.046795	147500
258	4.000000	174.034036	147371
260	8.000000	173.984812	147316
262	12.000000	173.908369	146824
264	16.000000	173.795217	148191
266	20.000000	173.658001	147212
268	24.000000	173.486606	148193
270	28.000000	173.283917	148272
272	32.000000	173.050980	149231
274	36.000000	172.785813	148836
