0.01	-nan	-nan
0.02	-1.69465e-170	0
0.03	-1.36461e-112	1.42444e-219
0.04	-1.22455e-83	8.60274e-162
0.05	-2.8824e-66	3.81316e-127
0.06	-1.09886e-54	4.61824e-104
0.07	-2.05692e-46	1.38702e-87
0.08	-3.29172e-40	3.10816e-75
0.09	-2.20251e-35	1.23691e-65
0.1	-1.59703e-31	5.85292e-58
0.11	-2.30048e-28	1.10405e-51
0.12	-9.86066e-26	1.85942e-46
0.13	-1.66363e-23	4.8856e-42
0.14	-1.3491e-21	2.98337e-38
0.15	-6.08834e-20	5.67092e-35
0.16	-1.70666e-18	4.17755e-32
0.17	-3.2321e-17	1.41015e-29
0.18	-4.41463e-16	2.48464e-27
0.19	-4.57918e-15	2.53261e-25
0.2	-3.75917e-14	1.62144e-23
0.21	-2.52534e-13	6.96894e-22
0.22	-1.42674e-12	2.12331e-20
0.23	-6.93388e-12	4.79702e-19
0.24	-2.95385e-11	8.34282e-18
0.25	-1.12059e-10	1.15266e-16
0.26	-3.83676e-10	1.29928e-15
0.27	-1.19919e-09	1.22224e-14
0.28	-3.45508e-09	9.78374e-14
0.29	-9.25412e-09	6.7767e-13
0.3	-2.32106e-08	4.12096e-12
0.31	-5.48623e-08	2.22809e-11
0.32	-1.22889e-07	1.08298e-10
0.33	-2.62135e-07	4.77839e-10
0.34	-5.34791e-07	1.93035e-09
0.35	-1.04749e-06	7.19409e-09
0.36	-1.97649e-06	2.49019e-08
0.37	-3.60359e-06	8.05409e-08
0.38	-6.36576e-06	2.44716e-07
0.39	-1.09218e-05	7.01889e-07
0.4	-1.82396e-05	1.90862e-06
0.41	-2.97082e-05	4.93987e-06
0.42	-4.7277e-05	1.22123e-05
0.43	-7.36278e-05	2.89309e-05
0.44	-0.000112381	6.58683e-05
0.45	-0.000168338	0.00014451
0.46	-0.000247768	0.000306252
0.47	-0.000358731	0.00062833
0.48	-0.000511447	0.00125057
0.49	-0.000718701	0.00241907
0.5	-0.0009963	0.00455573
0.51	-0.00136356	0.00836612
0.52	-0.00184382	0.0150031
0.53	-0.00246503	0.0263098
0.54	-0.0032603	0.0451722
0.55	-0.00426855	0.0760236
0.56	-0.0055351	0.125549
0.57	-0.00711231	0.203656
0.58	-0.00906027	0.324793
0.59	-0.0114474	0.509697
0.6	-0.0143509	0.787705
0.61	-0.0178579	1.19974
0.62	-0.0220652	1.80211
0.63	-0.0270805	2.67137
0.64	-0.0330226	3.91027
0.65	-0.0400218	5.65519
0.66	-0.0482203	8.0851
0.67	-0.0577722	11.4324
0.68	-0.0688441	15.9957
0.69	-0.0816148	22.1551
0.7	-0.0962754	30.3895
0.71	-0.113029	41.2967
0.72	-0.132089	55.6168
0.73	-0.153682	74.2567
0.74	-0.178043	98.3194
0.75	-0.205416	129.134
0.76	-0.236054	168.288
0.77	-0.270215	217.664
0.78	-0.308162	279.472
0.79	-0.350161	356.285
0.8	-0.396474	451.073
0.81	-0.447365	567.237
0.82	-0.503086	708.625
0.83	-0.563883	879.561
0.84	-0.629982	1084.84
0.85	-0.701595	1329.75
0.86	-0.778906	1619.99
0.87	-0.86207	1961.71
0.88	-0.951206	2361.37
0.89	-1.04639	2825.7
0.9	-1.14765	3361.55
0.91	-1.25497	3975.74
0.92	-1.36825	4674.88
0.93	-1.48734	5465.15
0.94	-1.61202	6352.07
0.95	-1.74198	7340.2
0.96	-1.87686	8432.88
0.97	-2.0162	9631.98
0.98	-2.15944	10937.6
0.99	-2.306	12347.7
1	-2.45518	13858.3
1.01	-2.60623	15463
1.02	-2.75838	17152.9
1.03	-2.91079	18917.2
1.04	-3.06262	20742.8
1.05	-3.21303	22615
1.06	-3.36121	24518
1.07	-3.5064	26435.1
1.08	-3.64792	28349.8
1.09	-3.78519	30246.3
1.1	-3.91775	32110.3
1.11	-4.04528	33929.7
1.12	-4.16765	35695
1.13	-4.28487	37400.5
1.14	-4.39713	39043.7
1.15	-4.5048	40626
1.16	-4.60843	42151.5
1.17	-4.70867	43630.8
1.18	-4.80631	45075.9
1.19	-4.90225	46501.5
1.2	-4.99739	47923.7
1.21	-5.09269	49360
1.22	-5.18904	50826.8
1.23	-5.28726	52341.9
1.24	-5.38808	53920.5
1.25	-5.49206	55575.4
1.26	-5.59958	57315.8
1.27	-5.7108	59147.1
1.28	-5.82566	61070.8
1.29	-5.94385	63082.9
1.3	-6.06482	65173.3
1.31	-6.18777	67325.8
1.32	-6.31165	69519.3
1.33	-6.43522	71726.1
1.34	-6.55704	73912.6
1.35	-6.6755	76041
1.36	-6.78892	78069.5
1.37	-6.89551	79953.4
1.38	-6.99351	81647.1
1.39	-7.08121	83106
1.4	-7.15699	84288.6
1.41	-7.21945	85158.4
1.42	-7.26741	85686.1
1.43	-7.29997	85851.5
1.44	-7.31659	85644.4
1.45	-7.31709	85065.6
1.46	-7.30166	84127.2
1.47	-7.27083	82851.1
1.48	-7.22549	81268.1
1.49	-7.16673	79415.3
1.5	-7.09586	77333.5
1.51	-7.01429	75065.2
1.52	-6.92343	72652.1
1.53	-6.82472	70133.6
1.54	-6.71949	67546.1
1.55	-6.60909	64923.1
1.56	-6.49482	62295.5
1.57	-6.37805	59692.8
1.58	-6.26024	57144
1.59	-6.14303	54678
1.6	-6.02818	52323.5
1.61	-5.9176	50108.3
1.62	-5.81324	48057.9
1.63	-5.71694	46193.6
1.64	-5.6303	44530.9
1.65	-5.55454	43077.8
1.66	-5.49032	41834
1.67	-5.43772	40790.5
1.68	-5.3962	39930.8
1.69	-5.36465	39231.7
1.7	-5.34151	38665.3
1.71	-5.32496	38201.4
1.72	-5.31304	37809.6
1.73	-5.30392	37462.1
1.74	-5.29599	37135.6
1.75	-5.28808	36813.2
1.76	-5.27953	36485.8
1.77	-5.27028	36152.8
1.78	-5.26087	35821.4
1.79	-5.25237	35506.4
1.8	-5.24628	35227.2
1.81	-5.24429	35006.1
1.82	-5.24808	34864.2
1.83	-5.25904	34818.6
1.84	-5.27802	34879.9
1.85	-5.30527	35050.5
1.86	-5.34036	35324.9
1.87	-5.38238	35691.1
1.88	-5.4301	36133.7
1.89	-5.48234	36637.5
1.9	-5.53815	37190.5
1.91	-5.59695	37785.7
1.92	-5.65845	38419.5
1.93	-5.72234	39088.6
1.94	-5.78795	39784
1.95	-5.85378	40485.5
1.96	-5.91728	41157.7
1.97	-5.97482	41749.1
1.98	-6.02197	42196.5
1.99	-6.05406	42433.1
