T	Ut	Ft	St	Ct
0.0100	-nan	-inf	-nan	-nan
0.0200	-2.0000	-2.0000	0.0000	0.0000
0.0300	-2.0000	-2.0000	0.0000	0.0000
0.0400	-2.0000	-2.0000	0.0000	0.0000
0.0500	-2.0000	-2.0000	0.0000	0.0000
0.0600	-2.0000	-2.0000	0.0000	0.0000
0.0700	-2.0000	-2.0000	0.0000	0.0000
0.0800	-2.0000	-2.0000	0.0000	0.0000
0.0900	-2.0000	-2.0000	0.0000	0.0000
0.1000	-2.0000	-2.0000	0.0000	0.0000
0.1100	-2.0000	-2.0000	0.0000	0.0000
0.1200	-2.0000	-2.0000	0.0000	0.0000
0.1300	-2.0000	-2.0000	0.0000	0.0000
0.1400	-2.0000	-2.0000	0.0000	0.0000
0.1500	-2.0000	-2.0000	0.0000	0.0000
0.1600	-2.0000	-2.0000	0.0000	0.0000
0.1700	-2.0000	-2.0000	0.0000	0.0000
0.1800	-2.0000	-2.0000	-0.0000	-0.0000
0.1900	-2.0000	-2.0000	0.0000	-0.0000
0.2000	-2.0000	-2.0000	0.0000	-0.0000
0.2100	-2.0000	-2.0000	0.0000	0.0000
0.2200	-2.0000	-2.0000	0.0000	0.0000
0.2300	-2.0000	-2.0000	0.0000	0.0000
0.2400	-2.0000	-2.0000	0.0000	0.0000
0.2500	-2.0000	-2.0000	0.0000	-0.0000
0.2600	-2.0000	-2.0000	0.0000	0.0000
0.2700	-2.0000	-2.0000	0.0000	0.0000
0.2800	-2.0000	-2.0000	0.0000	0.0000
0.2900	-2.0000	-2.0000	0.0000	0.0000
0.3000	-2.0000	-2.0000	0.0000	0.0000
0.3100	-2.0000	-2.0000	0.0000	0.0000
0.3200	-2.0000	-2.0000	0.0000	0.0000
0.3300	-2.0000	-2.0000	0.0000	0.0000
0.3400	-2.0000	-2.0000	0.0000	0.0000
0.3500	-2.0000	-2.0000	0.0000	0.0000
0.3600	-2.0000	-2.0000	0.0000	0.0000
0.3700	-2.0000	-2.0000	0.0000	0.0000
0.3800	-2.0000	-2.0000	0.0000	0.0000
0.3900	-2.0000	-2.0000	0.0000	0.0000
0.4000	-2.0000	-2.0000	0.0000	0.0000
0.4100	-2.0000	-2.0000	0.0000	0.0000
0.4200	-2.0000	-2.0000	0.0000	0.0000
0.4300	-2.0000	-2.0000	0.0000	0.0000
0.4400	-2.0000	-2.0000	0.0000	0.0000
0.4500	-2.0000	-2.0000	0.0000	0.0000
0.4600	-2.0000	-2.0000	0.0000	0.0000
0.4700	-2.0000	-2.0000	0.0000	0.0000
0.4800	-2.0000	-2.0000	0.0000	0.0000
0.4900	-2.0000	-2.0000	0.0000	0.0000
0.5000	-2.0000	-2.0000	0.0000	0.0000
0.5100	-2.0000	-2.0000	0.0000	0.0000
0.5200	-2.0000	-2.0000	0.0000	0.0000
0.5300	-2.0000	-2.0000	0.0000	0.0001
0.5400	-2.0000	-2.0000	0.0000	0.0001
0.5500	-2.0000	-2.0000	0.0000	0.0001
0.5600	-2.0000	-2.0000	0.0000	0.0001
0.5700	-2.0000	-2.0000	0.0000	0.0001
0.5800	-2.0000	-2.0000	0.0000	0.0002
0.5900	-2.0000	-2.0000	0.0000	0.0002
0.6000	-2.0000	-2.0000	0.0000	0.0003
0.6100	-2.0000	-2.0000	0.0000	0.0003
0.6200	-2.0000	-2.0000	0.0000	0.0004
0.6300	-2.0000	-2.0000	0.0000	0.0004
0.6400	-2.0000	-2.0000	0.0000	0.0005
0.6500	-2.0000	-2.0000	0.0001	0.0006
0.6600	-2.0000	-2.0000	0.0001	0.0007
0.6700	-2.0000	-2.0000	0.0001	0.0008
0.6800	-1.9999	-2.0000	0.0001	0.0010
0.6900	-1.9999	-2.0000	0.0001	0.0011
0.7000	-1.9999	-2.0000	0.0001	0.0013
0.7100	-1.9999	-2.0000	0.0001	0.0014
0.7200	-1.9999	-2.0000	0.0002	0.0016
0.7300	-1.9999	-2.0000	0.0002	0.0019
0.7400	-1.9999	-2.0000	0.0002	0.0021
0.7500	-1.9998	-2.0000	0.0002	0.0024
0.7600	-1.9998	-2.0000	0.0003	0.0027
0.7700	-1.9998	-2.0000	0.0003	0.0030
0.7800	-1.9997	-2.0000	0.0004	0.0033
0.7900	-1.9997	-2.0000	0.0004	0.0037
0.8000	-1.9997	-2.0000	0.0004	0.0041
0.8100	-1.9996	-2.0000	0.0005	0.0046
0.8200	-1.9996	-2.0000	0.0006	0.0051
0.8300	-1.9995	-2.0000	0.0006	0.0056
0.8400	-1.9995	-2.0001	0.0007	0.0061
0.8500	-1.9994	-2.0001	0.0008	0.0067
0.8600	-1.9993	-2.0001	0.0009	0.0073
0.8700	-1.9993	-2.0001	0.0009	0.0080
0.8800	-1.9992	-2.0001	0.0010	0.0087
0.8900	-1.9991	-2.0001	0.0011	0.0095
0.9000	-1.9990	-2.0001	0.0013	0.0103
0.9100	-1.9989	-2.0001	0.0014	0.0112
0.9200	-1.9988	-2.0001	0.0015	0.0121
0.9300	-1.9986	-2.0002	0.0016	0.0131
0.9400	-1.9985	-2.0002	0.0018	0.0141
0.9500	-1.9984	-2.0002	0.0019	0.0152
0.9600	-1.9982	-2.0002	0.0021	0.0164
0.9700	-1.9980	-2.0002	0.0023	0.0176
0.9800	-1.9978	-2.0003	0.0025	0.0189
0.9900	-1.9976	-2.0003	0.0027	0.0203
1.0000	-1.9974	-2.0003	0.0029	0.0217
1.0100	-1.9972	-2.0003	0.0031	0.0232
1.0200	-1.9970	-2.0004	0.0033	0.0248
1.0300	-1.9967	-2.0004	0.0036	0.0265
1.0400	-1.9964	-2.0004	0.0038	0.0282
1.0500	-1.9961	-2.0005	0.0041	0.0300
1.0600	-1.9958	-2.0005	0.0044	0.0319
1.0700	-1.9955	-2.0006	0.0047	0.0339
1.0800	-1.9952	-2.0006	0.0051	0.0360
1.0900	-1.9948	-2.0007	0.0054	0.0382
1.1000	-1.9944	-2.0007	0.0058	0.0404
1.1100	-1.9940	-2.0008	0.0061	0.0427
1.1200	-1.9935	-2.0009	0.0065	0.0451
1.1300	-1.9931	-2.0009	0.0069	0.0476
1.1400	-1.9926	-2.0010	0.0074	0.0502
1.1500	-1.9921	-2.0011	0.0078	0.0528
1.1600	-1.9915	-2.0011	0.0083	0.0556
1.1700	-1.9910	-2.0012	0.0088	0.0584
1.1800	-1.9904	-2.0013	0.0093	0.0612
1.1900	-1.9897	-2.0014	0.0098	0.0642
1.2000	-1.9891	-2.0015	0.0104	0.0672
1.2100	-1.9884	-2.0016	0.0109	0.0703
1.2200	-1.9877	-2.0017	0.0115	0.0735
1.2300	-1.9869	-2.0019	0.0121	0.0767
1.2400	-1.9861	-2.0020	0.0128	0.0801
1.2500	-1.9853	-2.0021	0.0134	0.0835
1.2600	-1.9845	-2.0022	0.0141	0.0870
1.2700	-1.9836	-2.0024	0.0148	0.0906
1.2800	-1.9827	-2.0025	0.0155	0.0943
1.2900	-1.9817	-2.0027	0.0163	0.0981
1.3000	-1.9807	-2.0029	0.0171	0.1019
1.3100	-1.9797	-2.0030	0.0179	0.1058
1.3200	-1.9786	-2.0032	0.0187	0.1099
1.3300	-1.9775	-2.0034	0.0195	0.1140
1.3400	-1.9763	-2.0036	0.0204	0.1182
1.3500	-1.9751	-2.0038	0.0213	0.1224
1.3600	-1.9739	-2.0040	0.0222	0.1268
1.3700	-1.9726	-2.0043	0.0231	0.1312
1.3800	-1.9712	-2.0045	0.0241	0.1357
1.3900	-1.9698	-2.0048	0.0251	0.1403
1.4000	-1.9684	-2.0050	0.0261	0.1450
1.4100	-1.9669	-2.0053	0.0272	0.1498
1.4200	-1.9654	-2.0056	0.0283	0.1548
1.4300	-1.9639	-2.0058	0.0294	0.1598
1.4400	-1.9622	-2.0061	0.0305	0.1649
1.4500	-1.9606	-2.0065	0.0317	0.1701
1.4600	-1.9588	-2.0068	0.0328	0.1754
1.4700	-1.9570	-2.0071	0.0341	0.1808
1.4800	-1.9552	-2.0075	0.0353	0.1863
1.4900	-1.9533	-2.0078	0.0366	0.1919
1.5000	-1.9514	-2.0082	0.0379	0.1975
1.5100	-1.9494	-2.0086	0.0392	0.2033
1.5200	-1.9473	-2.0090	0.0406	0.2091
1.5300	-1.9452	-2.0094	0.0420	0.2150
1.5400	-1.9430	-2.0098	0.0434	0.2211
1.5500	-1.9408	-2.0103	0.0448	0.2274
1.5600	-1.9385	-2.0107	0.0463	0.2338
1.5700	-1.9361	-2.0112	0.0478	0.2404
1.5800	-1.9336	-2.0117	0.0494	0.2472
1.5900	-1.9311	-2.0122	0.0510	0.2542
1.6000	-1.9286	-2.0127	0.0526	0.2614
