0.01	-nan	-nan
0.02	88.5469	2.8571e+12
0.03	88.5469	1.90474e+12
0.04	88.5469	1.42855e+12
0.05	88.5469	1.14284e+12
0.06	88.5469	9.52368e+11
0.07	88.5469	8.16315e+11
0.08	88.5469	7.14276e+11
0.09	88.5469	6.34912e+11
0.1	88.5469	5.71421e+11
0.11	88.5469	5.19473e+11
0.12	88.5469	4.76184e+11
0.13	88.5469	4.39554e+11
0.14	88.5469	4.08158e+11
0.15	88.5469	3.80947e+11
0.16	88.5469	3.57138e+11
0.17	88.5469	3.3613e+11
0.18	88.5469	3.17456e+11
0.19	88.5469	3.00748e+11
0.2	88.5469	2.8571e+11
0.21	88.5469	2.72105e+11
0.22	88.5469	2.59737e+11
0.23	88.5469	2.48444e+11
0.24	88.5469	2.38092e+11
0.25	88.5469	2.28568e+11
0.26	88.5469	2.19777e+11
0.27	88.5469	2.11637e+11
0.28	88.5469	2.04079e+11
0.29	88.5469	1.97042e+11
0.3	88.5469	1.90474e+11
0.31	88.5469	1.84329e+11
0.32	88.5469	1.78569e+11
0.33	88.5469	1.73158e+11
0.34	88.5469	1.68065e+11
0.35	88.5469	1.63263e+11
0.36	88.5469	1.58728e+11
0.37	88.5469	1.54438e+11
0.38	88.5469	1.50374e+11
0.39	88.5469	1.46518e+11
0.4	88.5469	1.42855e+11
0.41	88.5469	1.39371e+11
0.42	88.5469	1.36053e+11
0.43	88.5468	1.32889e+11
0.44	88.5468	1.29868e+11
0.45	88.5468	1.26982e+11
0.46	88.5467	1.24222e+11
0.47	88.5467	1.21579e+11
0.48	88.5466	1.19046e+11
0.49	88.5465	1.16617e+11
0.5	88.5464	1.14284e+11
0.51	88.5462	1.12044e+11
0.52	88.5459	1.09889e+11
0.53	88.5456	1.07816e+11
0.54	88.5452	1.0582e+11
0.55	88.5447	1.03896e+11
0.56	88.544	1.02041e+11
0.57	88.5432	1.00251e+11
0.58	88.5422	9.85232e+10
0.59	88.541	9.6854e+10
0.6	88.5395	9.52405e+10
0.61	88.5377	9.36801e+10
0.62	88.5356	9.21702e+10
0.63	88.533	9.07084e+10
0.64	88.5299	8.92925e+10
0.65	88.5263	8.79205e+10
0.66	88.5221	8.65903e+10
0.67	88.5172	8.53001e+10
0.68	88.5115	8.40483e+10
0.69	88.5049	8.28331e+10
0.7	88.4973	8.1653e+10
0.71	88.4886	8.05067e+10
0.72	88.4787	7.93927e+10
0.73	88.4674	7.83098e+10
0.74	88.4546	7.72567e+10
0.75	88.4403	7.62324e+10
0.76	88.4241	7.52357e+10
0.77	88.406	7.42656e+10
0.78	88.3858	7.33213e+10
0.79	88.3633	7.24016e+10
0.8	88.3383	7.15059e+10
0.81	88.3107	7.06332e+10
0.82	88.2802	6.97829e+10
0.83	88.2466	6.89541e+10
0.84	88.2098	6.81461e+10
0.85	88.1694	6.73584e+10
0.86	88.1253	6.65902e+10
0.87	88.0772	6.5841e+10
0.88	88.0248	6.51101e+10
0.89	87.968	6.43971e+10
0.9	87.9065	6.37014e+10
0.91	87.8399	6.30225e+10
0.92	87.7681	6.23599e+10
0.93	87.6907	6.17132e+10
0.94	87.6075	6.1082e+10
0.95	87.5182	6.04658e+10
0.96	87.4224	5.98642e+10
0.97	87.32	5.92768e+10
0.98	87.2105	5.87033e+10
0.99	87.0937	5.81433e+10
1	86.9694	5.75965e+10
1.01	86.8371	5.70625e+10
1.02	86.6966	5.6541e+10
1.03	86.5475	5.60316e+10
1.04	86.3896	5.55342e+10
1.05	86.2226	5.50484e+10
1.06	86.046	5.45739e+10
1.07	85.8597	5.41105e+10
1.08	85.6633	5.36578e+10
1.09	85.4565	5.32157e+10
1.1	85.239	5.27838e+10
1.11	85.0104	5.2362e+10
1.12	84.7705	5.19499e+10
1.13	84.519	5.15474e+10
1.14	84.2556	5.11542e+10
1.15	83.9799	5.07701e+10
1.16	83.6918	5.03948e+10
1.17	83.3908	5.00283e+10
1.18	83.0767	4.96701e+10
1.19	82.7493	4.93202e+10
1.2	82.4083	4.89784e+10
1.21	82.0534	4.86443e+10
1.22	81.6844	4.83179e+10
1.23	81.301	4.7999e+10
1.24	80.903	4.76873e+10
1.25	80.4901	4.73827e+10
1.26	80.0622	4.7085e+10
1.27	79.6189	4.6794e+10
1.28	79.1602	4.65095e+10
1.29	78.6858	4.62314e+10
1.3	78.1955	4.59595e+10
1.31	77.6892	4.56936e+10
1.32	77.1666	4.54336e+10
1.33	76.6277	4.51793e+10
1.34	76.0723	4.49305e+10
1.35	75.5003	4.46871e+10
1.36	74.9115	4.4449e+10
1.37	74.3059	4.4216e+10
1.38	73.6834	4.39879e+10
1.39	73.0438	4.37647e+10
1.4	72.3871	4.35461e+10
1.41	71.7133	4.33321e+10
1.42	71.0224	4.31225e+10
1.43	70.3142	4.29171e+10
1.44	69.5888	4.27159e+10
