i	E(i)	g[i]	hist[i]
0	-1152.000000	0.000000	129417
4	-1144.000000	6.315433	119366
6	-1140.000000	7.015869	116512
8	-1136.000000	12.002677	130219
10	-1132.000000	13.377809	128145
12	-1128.000000	17.280395	130421
14	-1124.000000	19.055467	122787
16	-1120.000000	22.354301	133261
18	-1116.000000	24.351104	119675
20	-1112.000000	27.258716	131833
22	-1108.000000	29.385198	127001
24	-1104.000000	32.029192	132462
26	-1100.000000	34.229370	132515
28	-1096.000000	36.697608	126227
30	-1092.000000	38.922438	131537
32	-1088.000000	41.283133	131777
34	-1084.000000	43.505969	132118
36	-1080.000000	45.776210	134225
38	-1076.000000	47.992251	129901
40	-1072.000000	50.211690	129606
42	-1068.000000	52.389836	127834
44	-1064.000000	54.566842	129895
46	-1060.000000	56.718804	123552
48	-1056.000000	58.850747	125354
50	-1052.000000	60.969101	124426
52	-1048.000000	63.083907	126448
54	-1044.000000	65.180693	124774
56	-1040.000000	67.263999	122868
58	-1036.000000	69.328053	122269
60	-1032.000000	71.382953	122513
62	-1028.000000	73.432461	125794
64	-1024.000000	75.468484	126098
66	-1020.000000	77.492208	129193
68	-1016.000000	79.495477	127671
70	-1012.000000	81.500143	128661
72	-1008.000000	83.491008	130001
74	-1004.000000	85.468697	128160
76	-1000.000000	87.442578	127803
78	-996.000000	89.404099	127910
80	-992.000000	91.355058	126680
82	-988.000000	93.304453	126978
84	-984.000000	95.245343	127278
86	-980.000000	97.181276	123594
88	-976.000000	99.105361	123710
90	-972.000000	101.020531	123376
92	-968.000000	102.937089	125397
94	-964.000000	104.833174	123699
96	-960.000000	106.734543	119191
98	-956.000000	108.631484	116508
100	-952.000000	110.515723	114137
102	-948.000000	112.397779	113879
104	-944.000000	114.264653	112868
106	-940.000000	116.130904	112896
108	-936.000000	117.990600	113982
110	-932.000000	119.848452	113182
112	-928.000000	121.694349	113197
114	-924.000000	123.549512	108862
116	-920.000000	125.384240	113557
118	-916.000000	127.216445	112962
120	-912.000000	129.044355	116059
122	-908.000000	130.872483	113636
124	-904.000000	132.687963	115091
126	-900.000000	134.499569	117096
128	-896.000000	136.310803	114719
130	-892.000000	138.116039	114709
132	-888.000000	139.919861	114644
134	-884.000000	141.712908	116066
136	-880.000000	143.502304	116777
138	-876.000000	145.295624	119947
140	-872.000000	147.077325	117217
142	-868.000000	148.865455	119384
144	-864.000000	150.639187	117718
146	-860.000000	152.416947	120120
148	-856.000000	154.183719	121298
150	-852.000000	155.954051	122407
152	-848.000000	157.726526	124065
154	-844.000000	159.491516	122208
156	-840.000000	161.253759	120332
158	-836.000000	163.006387	121403
160	-832.000000	164.761177	123387
162	-828.000000	166.511783	120401
164	-824.000000	168.262126	123750
166	-820.000000	170.005418	125664
168	-816.000000	171.748496	126099
170	-812.000000	173.501440	124375
172	-808.000000	175.242649	126248
174	-804.000000	176.980663	125654
176	-800.000000	178.715165	128889
178	-796.000000	180.449057	127315
180	-792.000000	182.183316	132179
182	-788.000000	183.911762	131669
184	-784.000000	185.648972	133846
186	-780.000000	187.372193	136021
188	-776.000000	189.099899	136191
190	-772.000000	190.821417	133236
192	-768.000000	192.535258	133851
194	-764.000000	194.256921	131395
196	-760.000000	195.967211	133673
198	-756.000000	197.687106	130904
200	-752.000000	199.399112	130798
202	-748.000000	201.110878	130163
204	-744.000000	202.812370	130667
206	-740.000000	204.514393	133151
208	-736.000000	206.207401	135292
210	-732.000000	207.909199	134938
212	-728.000000	209.603607	135024
214	-724.000000	211.294093	135108
216	-720.000000	212.981402	135670
218	-716.000000	214.672000	128990
220	-712.000000	216.357438	128339
222	-708.000000	218.045881	125507
224	-704.000000	219.726173	126977
226	-700.000000	221.401243	126008
228	-696.000000	223.073447	124207
230	-692.000000	224.743825	120799
232	-688.000000	226.402882	121095
234	-684.000000	228.063038	120609
236	-680.000000	229.715556	118650
238	-676.000000	231.366809	118907
240	-672.000000	233.008040	114521
242	-668.000000	234.651298	113175
244	-664.000000	236.291164	110174
