0.01	-nan	-nan
0.02	197.24	0
0.03	197.24	0
0.04	197.24	1.49012e-06
0.05	197.24	0
0.06	197.24	0
0.07	197.24	0
0.08	197.24	0
0.09	197.24	0
0.1	197.24	0
0.11	197.24	0
0.12	197.24	4.96705e-07
0.13	197.24	0
0.14	197.24	4.25747e-07
0.15	197.24	0
0.16	197.24	0
0.17	197.24	0
0.18	197.24	0
0.19	197.24	0
0.2	197.24	1.04308e-06
0.21	197.24	6.10238e-06
0.22	197.24	3.35953e-05
0.23	197.24	0.000155879
0.24	197.24	0.000637025
0.25	197.24	0.00231957
0.26	197.24	0.0076357
0.27	197.24	0.0229817
0.28	197.24	0.0638496
0.29	197.24	0.165118
0.3	197.24	0.400335
0.31	197.24	0.915735
0.32	197.24	1.9871
0.33	197.24	4.11025
0.34	197.24	8.13882
0.35	197.24	15.4859
0.36	197.24	28.4084
0.37	197.24	50.395
0.38	197.24	86.6797
0.39	197.24	144.903
0.4	197.24	235.939
0.41	197.24	374.913
0.42	197.241	582.412
0.43	197.241	885.915
0.44	197.242	1321.42
0.45	197.243	1935.31
0.46	197.245	2786.38
0.47	197.248	3948.08
0.48	197.251	5510.89
0.49	197.256	7584.84
0.5	197.262	10302.1
0.51	197.27	13819.4
0.52	197.281	18321.1
0.53	197.295	24021
0.54	197.312	31164.8
0.55	197.335	40032.4
0.56	197.363	50938.8
0.57	197.398	64235.4
0.58	197.442	80310
0.59	197.495	99586.4
0.6	197.559	122522
0.61	197.637	149606
0.62	197.73	181354
0.63	197.841	218299
0.64	197.972	260990
0.65	198.126	309973
0.66	198.306	365785
0.67	198.515	428934
0.68	198.755	499881
0.69	199.031	579022
0.7	199.346	666662
0.71	199.704	762990
0.72	200.107	868052
0.73	200.56	981720
0.74	201.065	1.10367e+06
0.75	201.626	1.23334e+06
0.76	202.245	1.36994e+06
0.77	202.925	1.51239e+06
0.78	203.668	1.65934e+06
0.79	204.473	1.80915e+06
0.8	205.342	1.95991e+06
0.81	206.273	2.10948e+06
0.82	207.265	2.25548e+06
0.83	208.315	2.3954e+06
0.84	209.417	2.52666e+06
0.85	210.565	2.6467e+06
0.86	211.752	2.75307e+06
0.87	212.967	2.84357e+06
0.88	214.2	2.91638e+06
0.89	215.438	2.97015e+06
0.9	216.666	3.00412e+06
0.91	217.867	3.0182e+06
0.92	219.024	3.01301e+06
0.93	220.119	2.9899e+06
0.94	221.132	2.95086e+06
0.95	222.044	2.89846e+06
0.96	222.837	2.83565e+06
0.97	223.491	2.76554e+06
0.98	223.992	2.69121e+06
0.99	224.325	2.61535e+06
1	224.479	2.54011e+06
1.01	224.447	2.46683e+06
1.02	224.228	2.39594e+06
1.03	223.824	2.3269e+06
1.04	223.243	2.25833e+06
1.05	222.499	2.18817e+06
1.06	221.612	2.11398e+06
1.07	220.605	2.03334e+06
1.08	219.507	1.94419e+06
1.09	218.35	1.84523e+06
1.1	217.168	1.73613e+06
1.11	215.995	1.61767e+06
1.12	214.865	1.49169e+06
1.13	213.806	1.36091e+06
1.14	212.846	1.22864e+06
1.15	212.002	1.09836e+06
1.16	211.289	973388
1.17	210.71	856528
1.18	210.263	749892
1.19	209.938	654783
1.2	209.72	571731
1.21	209.589	500602
1.22	209.521	440750
1.23	209.493	391183
1.24	209.483	350701
1.25	209.472	318005
1.26	209.443	291768
1.27	209.385	270703
1.28	209.292	253615
1.29	209.16	239459
1.3	208.987	227391
1.31	208.772	216816
1.32	208.515	207404
1.33	208.21	199080
1.34	207.851	191984
1.35	207.43	186397
1.36	206.936	182653
1.37	206.357	181045
1.38	205.685	181740
1.39	204.91	184722
1.4	204.029	189764
1.41	203.041	196432
1.42	201.951	204104
1.43	200.768	212001
1.44	199.503	219206
1.45	198.176	224715
1.46	196.807	227502
1.47	195.428	226671
1.48	194.071	221649
1.49	192.778	212432
1.5	191.597	199765
1.51	190.574	185176
1.52	189.758	170778
1.53	189.188	158827
1.54	188.894	151151
1.55	188.888	148620
1.56	189.165	150876
1.57	189.704	156445
1.58	190.467	163200
1.59	191.407	169021
1.6	192.475	172393
1.61	193.627	172732
1.62	194.826	170359
1.63	196.05	166162
1.64	197.287	161134
1.65	198.534	155949
1.66	199.79	150748
1.67	201.053	145170
1.68	202.313	138598
1.69	203.554	130490
1.7	204.755	120663
1.71	205.891	109414
1.72	206.936	97445.1
1.73	207.869	85670.1
1.74	208.67	74970.8
1.75	209.328	66005.6
1.76	209.835	59101.2
1.77	210.193	54229.9
1.78	210.414	51059.9
1.79	210.521	49068.3
1.8	210.551	47694
1.81	210.541	46482.6
1.82	210.527	45165.9
1.83	210.535	43654.5
1.84	210.572	41983.2
1.85	210.63	40272.4
1.86	210.692	38727.4
1.87	210.739	37654.9
1.88	210.761	37482.4
1.89	210.761	38812.3
1.9	210.739	42556.6
1.91	210.685	50169.7
1.92	210.559	63938.3
1.93	210.277	87150.7
1.94	209.715	123717
1.95	208.73	176683
